,3.6v,3.7v,3.8v,3.9v,4.0v,4.1v,4.2v
0,0.048237582580201895,0.053821283323697316,0.05750520036854666,0.05603131198866494,0.05769967837995029,0.05721024388219172,0.06342925759651621
1,4.817059867004796e-07,1.9287686046842723e-06,3.596526176992339e-06,9.231006384169569e-06,2.703975639602751e-06,-1.8639782957207992e-06,-8.914501456121884e-06
2,1.2375342009082519e-08,-5.713491507054209e-08,-8.780199124261263e-08,-3.6425899910916955e-08,-4.575360513207314e-08,-3.890305444134525e-08,-8.275212270772762e-08
3,-0.005414873365012105,-0.001969173190233128,-0.001962297219983119,-0.0031925267491582725,-0.004173134449716048,-0.003092790943179388,-0.002713495100287549
4,1.37981065672519e-05,1.663104622594079e-05,1.6116707931358333e-05,1.543835434512467e-05,1.2326379995636406e-05,1.1017482948670489e-05,1.0602464498135953e-05
5,3.684230432288151e-08,-2.154252209746119e-08,-1.317993881811886e-08,1.122374152340878e-08,3.6817049025706574e-08,1.4744165687559536e-09,2.2483374314672595e-08
6,-0.01141891526691749,-0.01004306757800097,-0.009418240588079645,-0.010297805056989295,-0.011728339429921008,-0.012510903253855522,-0.011118873958080392
7,-4.1540643349744354e-05,-3.9204824648775786e-05,-3.651360786210954e-05,-4.3279973818264597e-05,-3.06100059762657e-05,-3.458986690951177e-05,-4.22382063614028e-05
8,4.413336488808188e-08,1.231583806500535e-08,1.763406979833158e-08,-2.1874372595793425e-09,1.987181232464245e-08,2.8125284507082266e-08,1.4083216080996287e-08
